27,1,3,2,4,1,6,6
1,21,10,6,2,5,2,3
2,5,28,1,0,3,3,8
2,1,5,20,10,10,2,0
3,1,3,16,16,6,4,1
1,1,5,8,6,22,4,3
4,1,3,2,13,5,19,3
4,7,7,0,2,2,2,26
